0, 334.44
25,100
35,65.65
45,43.78
50,35.9
75,14.76
100,6.71
125,3.34
150,1.77
175,0.997
190,0.719
200,0.6192
210,0.4529
220,0.4038
230,0.328
240,0.2737
250,0.23
260,0.1946
270,0.2656
280,0.1417
